zone,horizon,mae_residual,rmse_residual,skewness,excess_kurtosis
1,Corto,8.768,56.214,65.487,5251.42
1,Medio,7.719,55.741,72.761,6022.76
1,Largo,6.283,55.618,75.213,6281.2
2,Corto,0.852,1.504,1.215,14.537
2,Medio,0.577,1.019,1.379,14.912
2,Largo,0.647,1.151,1.425,14.894
3,Corto,2.056,3.03,1.913,34.452
3,Medio,0.521,0.98,2.447,46.769
3,Largo,0.542,1.027,2.405,45.49
4,Corto,8.363,15.816,1.218,20.012
4,Medio,0.6,1.315,1.853,26.541
4,Largo,0.594,1.306,1.834,26.343
