Zona,Horizonte,h,Target,Modelo,n_total_windows,n_train,n_val,n_test,RMSE,MAE,R2,Skill_vs_Persist,Lookback,Stride,Epochs_ran,Batch,units1,units2,dropout,lr,ModeloFile,PredFile,FigSerie,FigResid,FigCurva
2,Largo,72,WPD,LSTM_TDQ_BAYES,5446,3814,816,816,12.9496436575498,10.2809524016212,-0.188070033482322,0.165490271093521,336,8,12,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.png
2,Largo,72,Eh,LSTM_TDQ_BAYES,5446,3814,816,673,407.976706477091,395.084344747011,-2.81285911929632,-0.624831692639098,336,8,12,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z2_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z2_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Largo_h72_LSTM_TDQ_BAYES.png
3,Corto,1,WPD,LSTM_TDQ_BAYES,20000,14000,3000,3000,3.58217990253823,1.74623579270884,0.759833171562038,0.356974071540324,48,2,28,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.png
3,Corto,1,Eh,LSTM_TDQ_BAYES,20000,14000,3000,2999,3.58217990253823,1.74623579270884,0.759833171562038,0.356974071540324,48,2,28,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z3_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z3_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Corto_h1_LSTM_TDQ_BAYES.png
3,Medio,12,WPD,LSTM_TDQ_BAYES,10578,7406,1586,1586,5.43498611633429,3.89272878406022,0.183703194980694,0.208365837779093,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.png
3,Medio,12,Eh,LSTM_TDQ_BAYES,10578,7406,1586,1563,34.239459984065,28.7312253500325,-0.167757066001233,0.12977339843454,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z3_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z3_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Medio_h12_LSTM_TDQ_BAYES.png
3,Largo,72,WPD,LSTM_TDQ_BAYES,5261,3683,789,789,9.59553039018391,7.22227875112196,-1.40891358364162,-0.243776788015699,336,8,20,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.png
3,Largo,72,Eh,LSTM_TDQ_BAYES,5261,3683,789,646,435.558808291285,433.224794584612,-20.8504574655217,-2.53644193862714,336,8,20,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z3_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z3_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z3_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z3_Largo_h72_LSTM_TDQ_BAYES.png
4,Corto,1,WPD,LSTM_TDQ_BAYES,18602,13022,2790,2790,14.5655082760016,8.132729282252,0.532251511556474,0.246614291120745,48,2,14,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.png
4,Corto,1,Eh,LSTM_TDQ_BAYES,18602,13022,2790,2789,14.5655082760016,8.132729282252,0.532251511556474,0.246614291120745,48,2,14,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z4_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z4_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Corto_h1_LSTM_TDQ_BAYES.png
4,Medio,12,WPD,LSTM_TDQ_BAYES,9268,6488,1390,1390,24.4377326074179,18.7416650103653,-0.25476458467426,0.0670177178583389,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.png
4,Medio,12,Eh,LSTM_TDQ_BAYES,9268,6488,1390,1367,178.996452504892,163.956023167031,-1.30572508093919,-0.341055536174018,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z4_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z4_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Medio_h12_LSTM_TDQ_BAYES.png
4,Largo,72,WPD,LSTM_TDQ_BAYES,4606,3226,690,690,27.8384962863924,23.5573392402634,-1.13664209653036,-0.035392074786138,336,8,28,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.png
4,Largo,72,Eh,LSTM_TDQ_BAYES,4606,3226,690,547,1439.4047786177,1435.61774912213,-78.7718787732225,-2.65544327833768,336,8,28,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z4_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z4_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z4_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z4_Largo_h72_LSTM_TDQ_BAYES.png
