Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,R2_ord,Skill_ord
1,Corto,1,ARIMA,8732,239.601054647732,8.11163167161405,-0.000124792404590401,0.292890675352485,-0.000124792404590401,0.292890675352485
1,Medio,12,ARIMA,8710,831.002049657128,94.2603487750302,-0.00149346978437537,0.292982381508863,-0.00149346978437537,0.292982381508863
1,Largo,72,ARIMA,8590,2048.70969886557,560.727459515149,-0.00888721907593748,0.293149941250383,-0.00888721907593748,0.293149941250383
2,Corto,1,Persistencia,8793,7.39705832450631,3.9729693825865,0.637819152373762,,0.637819152373762,-Inf
2,Medio,12,Persistencia,8771,115.998560437357,85.0132463185168,-0.253048067836394,,-0.253048067836394,-Inf
2,Largo,72,Persistencia,8651,452.433091108663,308.415907142283,-0.0861736785214477,,-0.0861736785214477,-Inf
3,Corto,1,Persistencia,8497,3.7741069290436,1.83819762886917,0.732744969245916,,0.732744969245916,-Inf
3,Medio,12,Persistencia,8475,76.0645704874343,53.7962109726534,-0.451701683391763,,-0.451701683391763,-Inf
3,Largo,72,Persistencia,8355,281.288073801642,161.008085567911,-0.196379420983692,,-0.196379420983692,-Inf
4,Corto,1,ARIMAX,7450,16.1445460736281,13.6187195399072,0.657264148260109,0.181055745395719,0.657264148260109,0.181055745395719
4,Medio,12,ARIMAX,7428,133.810129938149,114.826115154359,0.633057503898533,0.474602060972632,0.633057503898533,0.474602060972632
4,Largo,72,ARIMAX,7308,622.161947751118,536.623597996916,0.527630807441979,0.284170161457934,0.527630807441979,0.284170161457934
