Zona,prop_zero,k_shape,c_scale,se_k,se_c,AIC,BIC,KS,KS_p,Ev3
1,0.0143675369751599,0.618948911750376,1.88954743544085,0.000511561912778555,0.00417142967539934,2256357.05305803,2256379.69166975,0.179074817397318,1.07742382873181e-139,624.834561901223
2,0.00103744977194423,1.34542914973065,3.19660613172101,0.00121505001508782,0.00325488721890042,2389735.27455324,2389757.88354974,0.0779490131418288,8.18626863191836e-27,81.5790779050675
3,7.91604767571647e-06,1.35201484412214,2.77900160436194,0.00114076817113984,0.00250192368368295,2814495.62565542,2814518.70239554,0.0642856859996668,2.25507810783412e-18,53.0181312359298
4,0.000247496163809461,1.92936426467385,3.83924608908926,0.00321506657034602,0.00424392498233005,960708.533544968,960729.329969991,0.0816033196688152,2.40391117625925e-29,78.2460755917082
