zone,zona,n_registros,n_estaciones,fecha_min,fecha_max,VV_min,VV_p05,VV_p25,VV_media,VV_mediana,VV_p75,VV_p95,VV_max,VV_sd,VV_cv,VV_asimetria,VV_curtosis,WPD_min,WPD_p05,WPD_p25,WPD_media,WPD_mediana,WPD_p75,WPD_p95,WPD_max,WPD_sd,WPD_cv,WPD_asimetria,WPD_curtosis,rho_media,rho_mediana,rho_sd
1,Zona 1,104055,5,2017-01-19T02:00:00Z,2022-07-01T05:00:00Z,0,0.183333333333333,0.45,3.16073051936819,0.933333333333334,1.73333333333333,20.8429999999999,59.7666666666667,8.33572187816024,2.63727699248036,4.20414887439596,20.562956066356,0,0.00346122865386078,0.050124721811588,1703.85356089458,0.438726380507071,2.75965346255715,4896.38491724569,116100.177028236,9025.77972142502,5.29727432484643,6.87303446237265,56.8592609707815,1.06383245891512,1.05452953388853,0.0712092850990614
2,Zona 2,98480,4,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,0,0.766666666666667,1.38333333333333,2.78853476171135,2.3,3.45,6.01666666666667,23.7333333333333,2.26336051053868,0.811666593372368,3.1053823865454,16.5132588677526,0,0.247846296296296,1.45593912037037,55.2991439154972,6.69185,22.58499375,119.792752546296,7352.56557037037,258.195652768542,4.66907142655031,8.9725781835016,107.190211910063,1.1,1.1,0
3,Zona 3,123109,5,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,0.183333333333333,0.616666666666667,1.08333333333333,2.50293291581715,1.94,3.23333333333333,6.41666666666667,23.85,1.96910641575113,0.7867196133414,2.00801727729525,9.06898132019222,0.00338912037037037,0.128977546296296,0.699276620370371,33.068892865136,4.0157612,18.591487037037,145.30853587963,7461.52914375,123.809238479706,3.74397894071127,14.1676241160267,382.659866859809,1.1,1.1,0
4,Zona 4,39868,2,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,0,0.833333333333333,1.81666666666667,3.37077259121769,3.33333333333333,4.81666666666667,6.15,8.86666666666667,1.73196255260762,0.513817679994233,0.160728475849753,1.95669056780101,0,0.299569212962963,3.14411559391111,37.2306459850758,19.1724296296296,59.5671796296296,125.86562337963,383.392696296296,43.9671325335014,1.18093928725078,1.64685512449697,6.19657240893888,1.05374584548293,1.1,0.0674841645990624
