zone,zona,variable,band,band_power,band_power_fraction,band_power_pct
1,Zona 1,VV,>400 días,6329.00099512733,0.774806840902848,77.4806840902848
1,Zona 1,VV,120–400 días,251.867683652991,0.0308340612439366,3.08340612439366
1,Zona 1,VV,30–120 días,653.732583806963,0.0800310315079258,8.00310315079258
1,Zona 1,VV,2–30 días,933.887528441493,0.11432806634529,11.432806634529
1,Zona 1,WPD,>400 días,3973150049.83958,0.74085727633608,74.085727633608
1,Zona 1,WPD,120–400 días,173544396.103507,0.0323601240848744,3.23601240848744
1,Zona 1,WPD,30–120 días,406102737.214585,0.0757243406444142,7.57243406444142
1,Zona 1,WPD,2–30 días,810111674.927451,0.151058258934632,15.1058258934632
2,Zona 2,VV,>400 días,72.0172228712978,0.281877731654852,28.1877731654852
2,Zona 2,VV,120–400 días,68.4031463877127,0.2677321198053,26.77321198053
2,Zona 2,VV,30–120 días,38.1256399429788,0.149224983643455,14.9224983643455
2,Zona 2,VV,2–30 días,76.9449884319773,0.301165164896393,30.1165164896393
2,Zona 2,WPD,>400 días,769462.253467652,0.309390463027386,30.9390463027386
2,Zona 2,WPD,120–400 días,762328.842925326,0.306522214220237,30.6522214220237
2,Zona 2,WPD,30–120 días,441612.591018489,0.17756650621677,17.756650621677
2,Zona 2,WPD,2–30 días,513622.725550535,0.206520816535607,20.6520816535607
3,Zona 3,VV,>400 días,19.7582766285832,0.0793347294712925,7.93347294712925
3,Zona 3,VV,120–400 días,74.856059365277,0.300566963944624,30.0566963944624
3,Zona 3,VV,30–120 días,32.8245143883442,0.131799145136909,13.1799145136909
3,Zona 3,VV,2–30 días,121.610673833199,0.488299161447175,48.8299161447175
3,Zona 3,WPD,>400 días,49767.3846762355,0.0361308446468223,3.61308446468223
3,Zona 3,WPD,120–400 días,275116.084280061,0.199732747976035,19.9732747976035
3,Zona 3,WPD,30–120 días,234724.704484376,0.170408830756701,17.0408830756701
3,Zona 3,WPD,2–30 días,817812.840729074,0.593727576620442,59.3727576620442
4,Zona 4,VV,>400 días,7.54955829402644,0.0380757427313735,3.80757427313735
4,Zona 4,VV,120–400 días,37.3279196962027,0.188261115643623,18.8261115643623
4,Zona 4,VV,30–120 días,27.5826447288579,0.139111408064477,13.9111408064477
4,Zona 4,VV,2–30 días,125.817251600017,0.634551733560526,63.4551733560526
4,Zona 4,WPD,>400 días,13468.8320924946,0.0889717498077809,8.89717498077809
4,Zona 4,WPD,120–400 días,35562.1634138793,0.234914793217016,23.4914793217016
4,Zona 4,WPD,30–120 días,22302.4395225813,0.147324360098897,14.7324360098897
4,Zona 4,WPD,2–30 días,80049.8087713901,0.528789096876306,52.8789096876306
