zone,zona,distribution,n_positive,logLik,AIC,BIC,KS,RMSE_density,MAE_density,RMSE_CDF,MAE_CDF,rank_AIC,rank_BIC,rank_KS,rank_RMSE_density,rank_RMSE_CDF,score_global
1,Zona 1,Weibull,103382,-194663.864968473,389331.729936946,389350.822309235,0.167388266020537,0.0772102348203009,0.0146528792273732,0.051091377738271,0.0376177048807178,1,1,1,1,1,5
1,Zona 1,Rayleigh,103382,-482803.712506527,965609.425013054,965618.971199198,0.785956295624125,0.0893722517549312,0.0332946498230403,0.258308348359644,0.135113742950649,2,2,2,2,2,10
2,Zona 2,Weibull,98373,-188616.126242406,377236.252484812,377255.245528123,0.0798127827383771,0.0343032778050922,0.0201121169259347,0.0326296564354973,0.0252215823081823,1,1,1,1,1,5
2,Zona 2,Rayleigh,98373,-203166.695318681,406335.390637363,406344.887159018,0.166128231489262,0.0456368064991482,0.0256271681847031,0.0702988917635265,0.0466414063108442,2,2,2,2,2,10
3,Zona 3,Weibull,123109,-224758.33822263,449520.676445261,449540.118096102,0.0732057604332516,0.0400667048804167,0.0202894836061075,0.0253299239418778,0.0186430931995206,1,1,1,1,1,5
3,Zona 3,Rayleigh,123109,-242241.155489108,484484.310978216,484494.031803637,0.191821383724726,0.0693384966048134,0.040550494311868,0.0794720726112487,0.052097485162153,2,2,2,2,2,10
4,Zona 4,Weibull,39859,-76846.1906367193,153696.381273439,153713.56748045,0.0743482002513678,0.0466167515563135,0.0383716446352255,0.0370039271888443,0.0300750069097373,1,1,1,2,2,7
4,Zona 4,Rayleigh,39859,-76864.465306973,153730.930613946,153739.523717452,0.0757381909158785,0.0453085823183937,0.0371808962389523,0.0363127985859443,0.0294233314422032,2,2,2,1,1,8
