Estación,FechaYHora,Valor,Zona,Variable
EST_1,30/06/2022 8:10,1.1,2,VV
EST_1,30/06/2022 7:40,1.1,2,VV
EST_1,30/06/2022 6:20,1.1,2,VV
EST_1,30/06/2022 6:10,1.1,2,VV
EST_1,30/06/2022 6:00,1.1,2,VV
EST_1,30/06/2022 5:00,1.1,2,VV
EST_1,30/06/2022 4:50,1.1,2,VV
EST_1,30/06/2022 3:30,1.1,2,VV
EST_1,30/06/2022 3:10,1.1,2,VV
EST_1,30/06/2022 1:50,1.1,2,VV
EST_1,28/06/2022 22:40,1.1,2,VV
EST_1,28/06/2022 22:00,1.1,2,VV
EST_1,28/06/2022 20:30,1.1,2,VV
EST_1,28/06/2022 8:40,1.1,2,VV
EST_1,28/06/2022 3:30,1.1,2,VV
EST_1,4/06/2022 8:30,1.1,2,VV
EST_1,4/06/2022 7:30,1.1,2,VV
EST_1,4/06/2022 3:10,1.1,2,VV
EST_1,4/06/2022 1:00,1.1,2,VV
EST_1,4/06/2022 0:10,1.1,2,VV
EST_1,3/06/2022 4:20,1.1,2,VV
EST_1,3/06/2022 2:00,1.1,2,VV
EST_1,2/06/2022 23:50,1.1,2,VV
EST_1,2/06/2022 23:00,1.1,2,VV
EST_1,2/06/2022 19:00,1.1,2,VV
EST_1,2/06/2022 9:40,1.1,2,VV
EST_1,2/06/2022 9:30,1.1,2,VV
EST_1,2/06/2022 5:20,1.1,2,VV
EST_1,2/06/2022 4:00,1.1,2,VV
EST_1,2/06/2022 3:10,1.1,2,VV
EST_1,2/06/2022 2:40,1.1,2,VV
EST_1,2/06/2022 2:10,1.1,2,VV
EST_1,2/06/2022 2:00,1.1,2,VV
EST_1,2/06/2022 1:20,1.1,2,VV
EST_1,2/06/2022 0:30,1.1,2,VV
EST_1,2/06/2022 0:20,1.1,2,VV
EST_1,1/06/2022 23:10,1.1,2,VV
EST_1,1/06/2022 21:50,1.1,2,VV
EST_1,1/06/2022 9:30,1.1,2,VV
EST_1,1/06/2022 7:10,1.1,2,VV
EST_1,1/06/2022 6:30,1.1,2,VV
EST_1,1/06/2022 6:20,1.1,2,VV
EST_1,1/06/2022 6:00,1.1,2,VV
EST_1,1/06/2022 4:20,1.1,2,VV
EST_1,1/06/2022 3:30,1.1,2,VV
EST_1,1/06/2022 3:10,1.1,2,VV
EST_1,31/05/2022 8:20,1.1,2,VV
EST_1,31/05/2022 7:10,1.1,2,VV
EST_1,31/05/2022 1:50,1.1,2,VV
EST_1,31/05/2022 1:40,1.1,2,VV
EST_1,31/05/2022 0:10,1.1,2,VV
EST_1,30/05/2022 22:10,1.1,2,VV
EST_1,30/05/2022 21:20,1.1,2,VV
EST_1,30/05/2022 18:20,1.1,2,VV
EST_1,30/05/2022 8:40,1.1,2,VV
EST_1,30/05/2022 6:40,1.1,2,VV
EST_1,30/05/2022 6:10,1.1,2,VV
EST_1,30/05/2022 1:20,1.1,2,VV
EST_1,29/05/2022 21:00,1.1,2,VV
EST_1,29/05/2022 19:20,1.1,2,VV
EST_1,29/05/2022 18:10,1.1,2,VV
EST_1,29/05/2022 6:50,1.1,2,VV
EST_1,29/05/2022 5:40,1.1,2,VV
EST_1,29/05/2022 3:10,1.1,2,VV
EST_1,29/05/2022 2:10,1.1,2,VV
EST_1,29/05/2022 1:50,1.1,2,VV
EST_1,28/05/2022 5:20,1.1,2,VV
EST_1,27/05/2022 1:40,1.1,2,VV
EST_1,27/05/2022 1:00,1.1,2,VV
EST_1,26/05/2022 21:20,1.1,2,VV
EST_1,26/05/2022 7:00,1.1,2,VV
EST_1,26/05/2022 6:10,1.1,2,VV
EST_1,26/05/2022 3:20,1.1,2,VV
EST_1,26/05/2022 2:40,1.1,2,VV
EST_1,25/05/2022 23:30,1.1,2,VV
EST_1,25/05/2022 7:50,1.1,2,VV
EST_1,24/05/2022 21:40,1.1,2,VV
EST_1,24/05/2022 7:50,1.1,2,VV
EST_1,24/05/2022 7:10,1.1,2,VV
EST_1,24/05/2022 6:50,1.1,2,VV
EST_1,24/05/2022 5:10,1.1,2,VV
EST_1,23/05/2022 23:40,1.1,2,VV
EST_1,23/05/2022 23:00,1.1,2,VV
EST_1,23/05/2022 19:20,1.1,2,VV
EST_1,23/05/2022 7:10,1.1,2,VV
EST_1,23/05/2022 2:20,1.1,2,VV
EST_1,23/05/2022 2:00,1.1,2,VV
EST_1,22/05/2022 16:40,1.1,2,VV
EST_1,22/05/2022 3:00,1.1,2,VV
EST_1,22/05/2022 0:30,1.1,2,VV
EST_1,18/05/2022 12:00,1.1,2,VV
EST_1,18/05/2022 8:00,1.1,2,VV
EST_1,18/05/2022 4:30,1.1,2,VV
EST_1,18/05/2022 4:00,1.1,2,VV
EST_1,18/05/2022 3:20,1.1,2,VV
EST_1,18/05/2022 2:30,1.1,2,VV
EST_1,18/05/2022 2:10,1.1,2,VV
EST_1,18/05/2022 1:40,1.1,2,VV
EST_1,18/05/2022 1:10,1.1,2,VV
EST_1,18/05/2022 0:40,1.1,2,VV
