zone,mean_wpd,mean_e_free,mean_fnrr,coherence,mean_e_usable,reading
4,8.946,78.422,0.441,0.559,43.482,Mayor indicador absoluto; irregularidad persistente.
2,7.716,67.64,0.381,0.619,39.213,Segundo indicador; mejor balance relativo que Zona 4.
3,5.765,50.533,0.238,0.762,33.322,Indicador intermedio; trayectoria proyectada descendente.
1,3.605,31.598,0.094,0.906,27.825,Baja irregularidad; menor magnitud absoluta.
