Zona,WPD,E_FREE,FNRR,Coherencia,E_USABLE
4,10.389,91.261,0.459,0.541,49.409
2,5.003,43.944,0.232,0.768,33.752
1,3.99,35.05,0.111,0.889,31.175
3,2.841,24.953,0,1,24.953
