Zona,WPD,E_FREE,FNRR,Coherencia,E_USABLE
4,8.946,78.422,0.441,0.559,43.482
2,7.716,67.64,0.381,0.619,39.213
3,5.765,50.533,0.238,0.762,33.322
1,3.605,31.598,0.094,0.906,27.825
