Zona,n,mean,sd,min,p05,p25,median,p75,p95,max,skew,kurt
1,617712,3.44680972524413,10.9779924592222,0,0.17,0.4,0.9,1.7,7.8,60.2,4.61191674168706,23.0013323992776
2,600511,2.90097733430362,2.51970399491993,0,0.6,1.4,2.3,3.6,6.8,32.7,2.92085737854071,14.2947428223973
3,757954,2.52861334592864,2.06346094912775,0,0.5,1.1,2,3.3,6.6,25.7,2.05384326610551,9.65966679642655
4,242428,3.40834062072038,1.8266058196577,0,0.7,1.8,3.4,4.9,6.4,10.9,0.172430920729854,2.03511379016966
