zone,zona,variable,n_days_segment,segment_start,segment_end,ACF_lag1,ACF_lag7,ACF_lag30,PACF_lag1,first_lag_ACF_below_1e,first_lag_ACF_negative,confidence_95
1,Zona 1,VV,1813,2017-01-31,2022-01-17,0.924494025223425,0.850798206383662,0.747886957743985,0.924494025223425,,,0.0460317164455
1,Zona 1,WPD,1813,2017-01-31,2022-01-17,0.885026460577975,0.812333655550683,0.713849582102781,0.885026460577975,,,0.0460317164455
2,Zona 2,VV,1291,2017-01-31,2020-08-13,0.874520241555065,0.49337373932248,0.38372183683934,0.874520241555065,32,,0.0545497733191549
2,Zona 2,WPD,1291,2017-01-31,2020-08-13,0.881756920910821,0.593631170497026,0.37428269299169,0.881756920910821,32,,0.0545497733191549
3,Zona 3,VV,1428,2017-01-31,2020-12-28,0.742443545157484,0.319573981217007,0.260818953894547,0.742443545157484,6,,0.0518671001544464
3,Zona 3,WPD,1428,2017-01-31,2020-12-28,0.694817576485998,0.209271652654644,0.194334833746902,0.694817576485998,4,,0.0518671001544464
4,Zona 4,VV,1205,2017-01-31,2020-05-19,0.528310373214225,0.21271180436523,0.118578620247221,0.528310373214225,2,55,0.0564628177877364
4,Zona 4,WPD,1205,2017-01-31,2020-05-19,0.674524622327828,0.279151809838471,0.168392514274332,0.674524622327828,5,56,0.0564628177877364
