zone,date_month,year_month,mean_VV,median_VV,mean_WPD,median_WPD,n_records,zona
1,2017-01-01,2017-01,0.529379166666667,0.461,0.136256082176152,0.0433270471432747,16,Zona 1
1,2017-02-01,2017-02,0.302062091503268,0.183333333333333,0.0633920096807446,0.00273657070816304,510,Zona 1
1,2017-03-01,2017-03,0.252052341597796,0.166666666666667,0.045439261717598,0.00257012153346731,726,Zona 1
1,2017-04-01,2017-04,0.276056797020484,0.183333333333333,0.0483097564848151,0.0034720607767124,716,Zona 1
1,2017-05-01,2017-05,0.140966822187662,0.05,1.84254265862569,6.94152229487002e-05,1286,Zona 1
1,2017-06-01,2017-06,0.490397572435396,0.2,4.88446275796058,0.00444432667967195,1277,Zona 1
1,2017-07-01,2017-07,0.702766990605766,0.2,132.966049495242,0.00446877175223588,1029,Zona 1
1,2017-08-01,2017-08,0.940374489795919,0.533333333333333,198.517775918931,0.0803877281141036,1274,Zona 1
1,2017-09-01,2017-09,0.879005362505362,0.542666666666667,161.209541960524,0.0844957225708025,1332,Zona 1
1,2017-10-01,2017-10,0.744626464507237,0.5134,6.92507740029469,0.0696451447343202,1451,Zona 1
1,2017-11-01,2017-11,0.991758670485739,0.757333333333333,3.69372666192532,0.234520837757322,1995,Zona 1
1,2017-12-01,2017-12,1.02387071517746,0.784,1.84595215563283,0.253088928662013,1869,Zona 1
1,2018-01-01,2018-01,1.1737583433856,0.988333333333333,2.36165626098664,0.529081867661398,829,Zona 1
1,2018-02-01,2018-02,1.4673830543933,1.29983333333333,3.38698970513123,1.15418454521506,956,Zona 1
1,2018-03-01,2018-03,1.21758010819808,1.08333333333333,2.33948585447436,0.669241932772515,1602,Zona 1
1,2018-04-01,2018-04,1.23374538799414,0.793166666666667,130.485624789829,0.274175706948609,2049,Zona 1
1,2018-05-01,2018-05,1.35137183098592,0.8,232.720840514743,0.286625613033332,2130,Zona 1
1,2018-06-01,2018-06,1.12441541287335,0.75,110.049930889205,0.224434481555122,2087,Zona 1
1,2018-07-01,2018-07,1.02008258345429,0.766666666666667,5.17236000006443,0.240049559878596,2067,Zona 1
1,2018-08-01,2018-08,1.08598065917603,0.8,8.86110193337224,0.285216005519943,2225,Zona 1
1,2018-09-01,2018-09,1.19322440447253,0.716666666666667,160.322136294223,0.2064366510385,2057,Zona 1
1,2018-10-01,2018-10,4.67421301003961,1.14341666666667,2869.45939690918,0.808528266860156,2068,Zona 1
1,2018-11-01,2018-11,7.14740197536787,1.4335,4622.64691735708,1.61653456995907,2084,Zona 1
1,2018-12-01,2018-12,6.51227532467532,1.23333333333333,4283.74463131426,1.04046497889862,2189,Zona 1
1,2019-01-01,2019-01,10.3383484118487,1.91666666666667,7302.83436517598,3.79348433811243,1868,Zona 1
1,2019-02-01,2019-02,8.53372946044357,1.46666666666667,6107.53696182624,1.71850151689117,2014,Zona 1
1,2019-03-01,2019-03,10.5148918848168,2.05,7365.22450792214,4.60066907227382,2292,Zona 1
1,2019-04-01,2019-04,11.117537037037,2.23333333333333,7917.03571276911,5.96233221470061,2160,Zona 1
1,2019-05-01,2019-05,10.8972924133811,2.08333333333333,7744.70669945698,4.87433434451446,2232,Zona 1
1,2019-06-01,2019-06,9.78747174845801,1.85,7053.10238514463,3.43066317051603,2486,Zona 1
1,2019-07-01,2019-07,8.02701210554705,1.45,5643.51995006553,1.70479550299093,3178,Zona 1
1,2019-08-01,2019-08,7.17922494623658,1.31775,5041.93310483769,1.25670551610938,3720,Zona 1
1,2019-09-01,2019-09,8.13852352293577,1.35,5641.00267276395,1.34651806595451,2725,Zona 1
1,2019-10-01,2019-10,2.59558853139854,1.03333333333333,1128.94245302175,0.606163643272597,2855,Zona 1
1,2019-11-01,2019-11,1.43275033602151,1.21666666666667,3.74288185203408,0.982341173351369,1984,Zona 1
1,2019-12-01,2019-12,1.33052536231884,1.08333333333333,3.38285149148525,0.666360959218126,2208,Zona 1
1,2020-01-01,2020-01,1.26260374234145,1.06666666666667,2.83894915682454,0.635130737829746,2013,Zona 1
1,2020-02-01,2020-02,1.25245722329472,1.05083333333333,2.66575429504341,0.609890405289291,2072,Zona 1
1,2020-03-01,2020-03,1.19162305433186,0.966666666666667,2.47572589303784,0.483053223607444,2270,Zona 1
1,2020-04-01,2020-04,1.26197263882652,0.983333333333333,3.12345375196918,0.501655397024747,2227,Zona 1
1,2020-05-01,2020-05,1.20645681718544,0.983333333333333,2.60278983019172,0.496735149259344,2281,Zona 1
1,2020-06-01,2020-06,1.17370275204725,0.966666666666667,2.39407126756175,0.473180963136718,2483,Zona 1
1,2020-07-01,2020-07,1.10818164893617,0.8692,2.17297129038576,0.341821057856557,2256,Zona 1
1,2020-08-01,2020-08,1.108598810773,0.866666666666667,17.1613745936399,0.324951491378695,1906,Zona 1
1,2020-09-01,2020-09,1.07995457895707,0.833333333333333,15.9298871857981,0.287364576253962,1809,Zona 1
1,2020-10-01,2020-10,1.28307740916272,1.06333333333333,3.17733333251843,0.628157146119913,2110,Zona 1
1,2020-11-01,2020-11,1.29618164170826,1.11666666666667,2.82313206363554,0.706650294061681,1202,Zona 1
1,2020-12-01,2020-12,1.28128377065112,1.1,10.6124637363707,0.699583135536645,1029,Zona 1
1,2021-01-01,2021-01,0.841397846889952,0.756583333333333,0.630333855909602,0.189873249455162,418,Zona 1
1,2021-02-01,2021-02,1.12905906902087,0.929,18.170383141572,0.362851590867297,623,Zona 1
1,2021-03-01,2021-03,1.19649377719756,0.933333333333333,58.3133004827375,0.356700796477453,766,Zona 1
1,2021-04-01,2021-04,1.33798679867987,1.2,2.51199167605211,0.757644663493314,1010,Zona 1
1,2021-05-01,2021-05,0.643417678812416,0.5,12.2049303962963,0.0554857360746744,988,Zona 1
1,2021-06-01,2021-06,0.642782905982906,0.5,22.3272509168934,0.0615274351159837,975,Zona 1
1,2021-07-01,2021-07,0.610321665089877,0.5,0.260597095175504,0.0623628692163418,1057,Zona 1
1,2021-08-01,2021-08,0.671015473887815,0.55,0.350938983623997,0.0824122821346123,1034,Zona 1
1,2021-09-01,2021-09,0.695869324473976,0.533333333333333,9.19248894876415,0.0749583076455154,1204,Zona 1
1,2021-10-01,2021-10,0.639504321988114,0.5,7.10456349528295,0.0616512157850253,1234,Zona 1
1,2021-11-01,2021-11,0.644145371947758,0.5,9.04724937649143,0.062029319053553,1174,Zona 1
1,2021-12-01,2021-12,0.666058139534884,0.6,0.302357790949226,0.105483824324496,860,Zona 1
1,2022-01-01,2022-01,0.731699905033239,0.64,0.437095258162241,0.128380562363092,351,Zona 1
1,2022-02-01,2022-02,0.703273237179487,0.633333333333333,0.390037900974829,0.124053306214083,416,Zona 1
1,2022-03-01,2022-03,0.71952380952381,0.633333333333333,0.252415468164793,0.123565580124656,7,Zona 1
1,2022-04-01,2022-04,0.724443616492796,0.666666666666667,0.389649106911679,0.144072190464473,671,Zona 1
1,2022-05-01,2022-05,1.05299009200283,0.8,61.2899762402598,0.30015103805653,942,Zona 1
1,2022-06-01,2022-06,1.21834523809524,0.983333333333333,2.83123682126214,0.534142454617743,1120,Zona 1
1,2022-07-01,2022-07,0.6,0.6,0.1188,0.1188,1,Zona 1
2,2017-01-01,2017-01,2.16104570293095,1.96666666666667,10.1234098527816,4.1836462962963,671,Zona 2
2,2017-02-01,2017-02,2.18861673414305,1.98333333333333,10.1584381679283,4.29091412037037,1235,Zona 2
2,2017-03-01,2017-03,1.96596252327747,1.73333333333333,7.79749175310965,2.86423703703704,1432,Zona 2
2,2017-04-01,2017-04,2.45905324074074,2.35,14.186390674384,7.13783125,1440,Zona 2
2,2017-05-01,2017-05,2.26943996415771,2.11666666666667,11.9770047018792,5.2157900462963,1488,Zona 2
2,2017-06-01,2017-06,2.66418405365126,2.56666666666667,17.5349088589994,9.2997462962963,1342,Zona 2
2,2017-07-01,2017-07,3.58010993176649,3.36,39.0697848290566,20.8631808,1319,Zona 2
2,2017-08-01,2017-08,2.88864254554786,2.73333333333333,23.3680785421792,11.2315703703704,1299,Zona 2
2,2017-09-01,2017-09,3.09672916666667,2.88333333333333,26.2701200297878,13.1840016203704,1440,Zona 2
2,2017-10-01,2017-10,2.63369965870308,2.53333333333333,18.3996926523588,8.94210370370371,1465,Zona 2
2,2017-11-01,2017-11,2.01898842592593,1.85,8.78248430695089,3.48239375,1440,Zona 2
2,2017-12-01,2017-12,2.14059462759463,1.91666666666667,11.1469302410397,3.87259837962963,1365,Zona 2
2,2018-01-01,2018-01,2.36804435483871,2.18333333333333,14.2150178282744,5.72430578703704,1488,Zona 2
2,2018-02-01,2018-02,2.06272478887233,1.9,8.82085423413786,3.77245,1342,Zona 2
2,2018-03-01,2018-03,2.64546635049684,2.46666666666667,18.4778341899674,8.25456296296296,1476,Zona 2
2,2018-04-01,2018-04,2.38076851851852,2.28333333333333,13.9245736441178,6.54742662037037,1440,Zona 2
