zone,zona,variable,diagnostic,lag,value
1,Zona 1,WPD,PACF,45,0.0751677126919696
1,Zona 1,WPD,PACF,46,0.0295986374567031
1,Zona 1,WPD,PACF,47,-0.0520140613347845
1,Zona 1,WPD,PACF,48,-0.0131287071582241
1,Zona 1,WPD,PACF,49,0.0333924200215749
1,Zona 1,WPD,PACF,50,-0.0305512989476574
1,Zona 1,WPD,PACF,51,-0.00121420390730106
1,Zona 1,WPD,PACF,52,-0.0406860227041073
1,Zona 1,WPD,PACF,53,-0.0616972714516937
1,Zona 1,WPD,PACF,54,0.0389913576659855
1,Zona 1,WPD,PACF,55,0.0058991311202865
1,Zona 1,WPD,PACF,56,-0.0268155219537231
1,Zona 1,WPD,PACF,57,0.0132007114261751
1,Zona 1,WPD,PACF,58,0.0225393561071293
1,Zona 1,WPD,PACF,59,-0.000773731460070402
1,Zona 1,WPD,PACF,60,-0.0206720770675153
2,Zona 2,VV,PACF,1,0.874520241555065
2,Zona 2,VV,PACF,2,-0.0606640690703089
2,Zona 2,VV,PACF,3,0.0995313828274115
2,Zona 2,VV,PACF,4,0.110982682096498
2,Zona 2,VV,PACF,5,0.0202681097074585
2,Zona 2,VV,PACF,6,-0.00759522294287776
2,Zona 2,VV,PACF,7,0.0284499624091245
2,Zona 2,VV,PACF,8,0.0179489547347283
2,Zona 2,VV,PACF,9,-0.00450035469774267
2,Zona 2,VV,PACF,10,0.0139708617275877
2,Zona 2,VV,PACF,11,0.0391101523449754
2,Zona 2,VV,PACF,12,0.0420465717781662
2,Zona 2,VV,PACF,13,0.044381705651615
2,Zona 2,VV,PACF,14,0.0599560356685465
2,Zona 2,VV,PACF,15,0.0222523138052412
2,Zona 2,VV,PACF,16,0.0642680594016755
2,Zona 2,VV,PACF,17,0.111809506858821
2,Zona 2,VV,PACF,18,0.0859139270392445
2,Zona 2,VV,PACF,19,-0.0162055650228667
2,Zona 2,VV,PACF,20,-0.0281266016530323
2,Zona 2,VV,PACF,21,0.0339583273955186
2,Zona 2,VV,PACF,22,0.046356624909001
2,Zona 2,VV,PACF,23,0.0595509884158572
