zone,Horizonte,h,N_horas_zona,estaciones_pareadas_media,estaciones_pareadas_mediana,RMSE_persistencia,MAE_persistencia,R2_persistencia,WPD_true_media,WPD_true_mediana,WPD_true_p90,WPD_true_max
1,Corto,1,7216,1.42627494456763,1,340.57887359492,9.43517795816442,-33642.9082343999,0.610172902233239,0.122679043423648,1.18817561339526,31.9845067211957
1,Medio,12,6389,1.28642980122085,1,487.839147930675,17.4977805891963,-0.981823615806139,9.24456019647754,0.105782323724472,1.40001292982637,23864.1085827605
1,Largo,72,6677,1.33548000599071,1,450.023026681137,13.4353579768239,-0.950479518813718,7.50329615361991,0.115871068028817,1.10705120073936,23864.1085827605
2,Corto,1,8282,2.22422120260807,2,8.7891828032703,5.130452404345,0.704599192828289,12.9317263115451,7.09641786265432,33.0435690393519,154.649162962963
2,Medio,12,7892,2.07602635580335,2,23.1189154873947,15.7153812425667,-0.770680627966678,13.6545830708002,7.34908684413581,35.0977110763889,194.091496296296
2,Largo,72,7636,2.11799371398638,2,18.6516119056147,11.5630273234771,-0.240945961666423,13.4694915583216,7.35567326388889,35.0231463541667,127.034529976852
3,Corto,1,8005,2.48682073703935,3,4.53779633157632,2.3477472658674,0.764570091203798,5.5900095839814,1.7950599537037,15.3764688271605,160.53072037037
3,Medio,12,7863,2.45249904616559,3,13.1667690084901,8.44911409761673,-0.955276161606438,5.62364495096767,1.77876195987654,15.4740023302469,123.819068287037
3,Largo,72,7667,2.41476457545324,3,9.95947426717306,5.07023570442046,-0.0558850180623134,5.77720656255342,1.84029066358025,16.0895835493827,123.819068287037
4,Corto,1,2479,1,1,12.3208238148095,8.33260692420279,0.763069726867537,25.8000990789591,18.5934124523896,63.2219215160491,130.229004151965
4,Medio,12,1489,1,1,44.1539523610895,36.9827797711787,-1.79993101063197,30.2599770284801,25.5958076538915,68.5243554888312,130.229004151965
4,Largo,72,2192,1,1,25.2431972480293,17.7432088628822,-0.0248715780057156,24.5039646783643,16.9731279353191,61.0751228658548,130.229004151965
