zone,horas_observadas,fecha_min_utc,fecha_max_utc,estaciones_media,estaciones_mediana,cobertura_estaciones_media,WPD_mean_station_media,WPD_weighted_nvv_media,WPD_median_station_media,WPD_legacy_media,corr_mean_vs_weighted,corr_mean_vs_median,corr_mean_vs_legacy,sesgo_rel_legacy_vs_mean
1,43661,2017-01-19T02:00:00Z,2022-07-01T05:00:00Z,2.38324820778269,2,0.476649641556538,1266.43977494599,1280.46101727007,215.5443856666,188.456407063161,0.997007486981541,0.497661349839846,0.8252349228604,-0.851191970758184
2,43968,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,2.23981077147016,2,0.55995269286754,39.7719070254423,40.3798180819783,15.9587788475261,19.8395138118041,0.994934217692394,0.490692296232927,0.919511218385123,-0.501167650846798
3,42490,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,2.89736408566722,3,0.579472817133443,33.3019324541022,33.0220994495197,16.4615718460618,16.4012456167685,0.99107390733414,0.738693536541189,0.906198825998741,-0.507498682264965
4,37251,2017-01-01T05:00:00Z,2022-07-01T05:00:00Z,1.07025314756651,1,0.535126573783254,38.5587048757234,38.5372343877449,38.5587048757234,38.1569864224898,0.999905616185542,1,0.998638535528828,-0.0104183596033201
