zone,Horizonte,h,N_pares_estacion_hora,RMSE_persistencia,MAE_persistencia,R2_persistencia,WPD_true_media,WPD_true_mediana,WPD_true_p90,WPD_true_max
1,Corto,1,10292,399.1215381385,10.8173115716205,-25370.7960809837,0.693993990650212,0.115890679292835,1.24548808774413,40.7068415732376
1,Medio,12,8219,569.240293262917,20.5602394944848,-0.957272221625585,10.9350647398066,0.0900731929849144,1.3079890702425,23864.1085827605
1,Largo,72,8917,472.605410189198,14.5639477547433,-0.869576480293738,8.31656307819807,0.115446728959351,1.14781964187909,23864.1085827605
2,Corto,1,18421,13.0767569307906,6.71545907538352,0.670576978314809,13.8690038812476,4.85482962962963,37.4461516203704,285.134687037037
2,Medio,12,16384,32.6019664770022,19.7459984960722,-0.944944777332908,14.3582930297161,5.33997037037037,38.7262430459262,285.134687037037
2,Largo,72,16173,26.5331901962376,14.1610860525567,-0.275010569662711,14.4351602067534,5.33997037037037,38.8386370370371,285.134687037037
3,Corto,1,19907,5.94757523039527,2.66996279221634,0.726899155972426,5.36525831400059,1.25542337962963,14.11980625,199.636637037037
3,Medio,12,19284,15.5416415488198,8.23559457563146,-0.84718908542759,5.37113759493605,1.25542337962963,14.11980625,199.636637037037
3,Largo,72,18514,11.832714568847,5.30080499079035,-0.0312471577851852,5.50242143746307,1.3037037037037,14.6038724537037,199.636637037037
4,Corto,1,2479,12.3208238148095,8.33260692420279,0.763069726867537,25.8000990789591,18.5934124523896,63.2219215160491,130.229004151965
4,Medio,12,1489,44.1539523610895,36.9827797711787,-1.79993101063197,30.2599770284801,25.5958076538915,68.5243554888312,130.229004151965
4,Largo,72,2192,25.2431972480293,17.7432088628822,-0.0248715780057156,24.5039646783643,16.9731279353191,61.0751228658548,130.229004151965
