Zona,Year,Quarter,days,WPD_mean,WPD_p50,E_free_kWh_m2,E_free_low_kWh_m2,E_free_high_kWh_m2,FNRR_q,coh_q,E_usable_kWh_m2,E_usable_low_kWh_m2,E_usable_high_kWh_m2
1,2017,2017Q1,59,0.0492056131583585,0.0310606203787097,0.0696751482322357,0,0,0.542061352565625,0.457938647434375,0.0319069431412596,0,0
1,2017,2017Q2,91,0.228811397713966,0.019219718281893,0.499724092607302,0,0,0.825137680446124,0.174862319553876,0.0873829139702689,0,0
1,2017,2017Q3,92,121.478569770946,0.191076297615579,268.224682054248,0,0,0.869891074031669,0.130108925968331,34.8984253002752,0,0
1,2017,2017Q4,92,0.96851273938138,0.60475856995455,2.13847612855409,0,0,0.782706967325637,0.217293032674363,0.464675963275248,0,0
1,2018,2018Q1,90,1.96142397715932,1.7381712260388,4.23667579066413,0,0,0.424595290980292,0.575404709019708,2.43780320053793,0,0
1,2018,2018Q2,91,49.6813171575232,0.771455132490852,108.503996672031,0,0,0.847935381088044,0.152064618911956,16.4996189043565,0,0
1,2018,2018Q3,92,23.8795573112709,0.912429838193541,52.7260625432862,0,0,0.89966824197526,0.10033175802474,5.2900985486903,0,0
1,2018,2018Q4,92,775.198025917585,515.103439512099,1711.63724122603,0,0,0.596570662173548,0.403429337826452,690.52467882691,0,0
1,2019,2019Q1,90,1307.90379159292,1026.11066343652,2825.07218984071,0,0,0.44718973611619,0.55281026388381,1561.72890275665,0,0
1,2019,2019Q2,91,1002.94859473534,1023.2800983641,2190.43973090198,0,0,0.219786347731024,0.780213652268976,1709.0109825221,0,0
1,2019,2019Q3,92,485.65281729925,312.948134421639,1072.32142059674,0,0,0.521597959254092,0.478402040745908,513.000755949034,0,0
1,2019,2019Q4,92,62.1670457835338,1.42630345676829,137.264837090043,0,0,0.879222012718859,0.120777987281141,16.5785707482091,0,0
1,2020,2020Q1,91,1.15882177617487,1.07752405345243,2.53086675916591,0,0,0.295352608727304,0.704647391272696,1.78336865950504,0,0
1,2020,2020Q2,91,1.02459502098611,0.976735393704424,2.23771552583366,0,0,0.264397122156774,0.735602877843226,1.64606998059771,0,0
1,2020,2020Q3,92,1.2396741932664,0.931587059450635,2.73720061873221,0,0,0.659079470544271,0.340920529455729,0.933167884164734,0,0
1,2020,2020Q4,92,19.8748559683181,1.65489934645073,43.8836819780465,0,0,0.896747270667692,0.103252729332308,4.53110993738429,0,0
1,2021,2021Q1,90,5.10637165821756,0.237479607473435,11.0297627817499,0,0,0.889195757113356,0.110804242886644,1.22214451425108,0,0
1,2021,2021Q2,91,0.792236073170299,0.182849800233178,1.73024358380393,0,0,0.583352741691866,0.416647258308134,0.720901245397149,0,0
1,2021,2021Q3,92,0.199398830967869,0.188514466194841,0.440272618777055,0,0,0.317747545706067,0.682252454293933,0.300377074719063,0,0
1,2021,2021Q4,92,0.263291761501653,0.205468786516623,0.581348209395649,0,0,0.605062053120955,0.394937946879045,0.229596468240527,0,0
1,2022,2022Q1,90,0.234752626305878,0.215041145660646,0.507065672820697,0,0,0.348054917675821,0.651945082324179,0.330578971810854,0,0
1,2022,2022Q2,91,0.745171353217632,0.42485837058158,1.62745423542731,0,0,0.57897953624026,0.42102046375974,0.685191536947359,0,0
1,2022,2022Q3,92,1.11284343414157,1.15254534351408,2.45715830258458,0,81.0497925900382,0.120652213659027,0.879347786340973,2.16069671406709,0,71.2709556974451
1,2022,2022Q4,92,1.00949264484466,1.02832316569766,2.22895975981701,0,370.732882663693,0.104320275553856,0.895679724446144,1.99643406347444,0,332.057926187341
1,2023,2023Q1,90,1.2685086555857,1.18629418866572,2.73997869606511,0,1245.54035387556,0.154910795432097,0.845089204567903,2.31552641679066,0,1052.59270691392
1,2023,2023Q2,91,1.47660420617206,1.45912598523108,3.22490358627979,0,3279.56657956591,0.118142984560703,0.881857015439297,2.84390385167618,0,2892.10879579046
1,2023,2023Q3,92,1.11213775354503,1.15087219583867,2.45560015982743,0,6363.21150343626,0.119904063147953,0.880095936852047,2.16116372319736,0,5600.23658950445
1,2023,2023Q4,92,1.00912039199746,1.03220250195727,2.22813782553039,0,12825.4457555495,0.103861075555874,0.896138924444126,1.99672103448408,0,11493.3811648946
1,2024,2024Q1,91,1.27083811331629,1.18231900869258,2.77551043948278,0,17557.3334787889,0.154832300192841,0.845167699807159,2.34577177392842,0,14838.8911510153
1,2024,2024Q2,91,1.47299611017723,1.46347834012131,3.21702350462708,0,17557.3334787889,0.119510357454118,0.880489642545882,2.8325558756508,0,15459.0502787977
1,2024,2024Q3,92,1.10985972854057,1.14137161409252,2.45057028061759,0,17750.2712093251,0.121364194670907,0.878635805329093,2.15315879202598,0,15596.0238388152
1,2024,2024Q4,92,1.01040165918189,1.03144727421566,2.23096686347361,0,17750.2712093251,0.103233273938693,0.896766726061307,2.00065685010849,0,15917.8525990867
1,2025,2025Q1,90,1.27204446803875,1.19242376905559,2.74761605096371,0,17364.3957482528,0.154507444470788,0.845492555529212,2.32308891654239,0,14681.4673364108
1,2025,2025Q2,91,1.47419580066289,1.46493688576977,3.21964362864775,0,17557.3334787889,0.119057178619671,0.880942821380329,2.83632194206015,0,15467.0068907196
1,2025,2025Q3,92,1.10994602155999,1.14769104447134,2.45076081560445,0,17750.2712093251,0.121760902106081,0.878239097893919,2.15235396785022,0,15588.98217425
1,2025,2025Q4,92,1.00978841526916,1.02404695783259,2.22961282091429,0,17750.2712093251,0.102397105629985,0.897602894370015,2.00130692137716,0,15932.6948133429
1,2026,2026Q1,90,1.27004191280114,1.19648535061587,2.74329053165046,0,17364.3957482528,0.152865839313332,0.847134160686668,2.32393512204939,0,14709.9728180273
1,2026,2026Q2,91,1.47561481351709,1.46944022965014,3.22274275272133,0,17557.3334787889,0.120012396898453,0.879987603101547,2.83597367038013,0,15450.235804854
1,2026,2026Q3,92,1.11116516974042,1.15115863068937,2.45345269478685,0,17750.2712093251,0.122506958004885,0.877493041995115,2.15288766853962,0,15575.739479709
1,2026,2026Q4,92,1.0107662516878,1.02467262451154,2.23177188372667,0,17750.2712093251,0.10247786874934,0.89752213125066,2.00306465754767,0,15931.2612460707
1,2027,2027Q1,90,1.2664462377846,1.19003327124831,2.73552387361474,0,17364.3957482528,0.152164851663091,0.847835148336909,2.31927328916531,0,14722.1450450007
1,2027,2027Q2,91,1.47701446406318,1.46069473928994,3.22579958951398,0,17557.3334787889,0.120846535571241,0.879153464428759,2.83597288467409,0,15435.5905540083
1,2027,2027Q3,92,1.11379005347524,1.15430454223134,2.45924843807334,0,17750.2712093251,0.12150739037176,0.87849260962824,2.16043157808722,0,15593.482076289
