Zona,Year,Quarter,WPD_q_mean,WPD_q_sd,FNRR_q,coh_q
1,2017,2017Q1,0.0492056131583585,0.0582446172033626,0.542061352565625,0.457938647434375
1,2017,2017Q2,0.228811397713966,1.07971177810647,0.825137680446124,0.174862319553876
1,2017,2017Q3,121.478569770946,812.189653733677,0.869891074031669,0.130108925968331
1,2017,2017Q4,0.96851273938138,3.48866072569148,0.782706967325637,0.217293032674363
1,2018,2018Q1,1.96142397715932,1.44734892026954,0.424595290980292,0.575404709019708
1,2018,2018Q2,49.6813171575232,277.030560417945,0.847935381088044,0.152064618911956
1,2018,2018Q3,23.8795573112709,214.126411899222,0.89966824197526,0.10033175802474
1,2018,2018Q4,775.198025917585,1146.32317552528,0.596570662173548,0.403429337826452
1,2019,2019Q1,1307.90379159292,1058.01427657778,0.44718973611619,0.55281026388381
1,2019,2019Q2,1002.94859473534,282.530827239163,0.219786347731024,0.780213652268976
1,2019,2019Q3,485.65281729925,529.503423552141,0.521597959254092,0.478402040745908
1,2019,2019Q4,62.1670457835338,452.554611556427,0.879222012718859,0.120777987281141
1,2020,2020Q1,1.15882177617487,0.485719579583034,0.295352608727304,0.704647391272696
1,2020,2020Q2,1.02459502098611,0.368269324501776,0.264397122156774,0.735602877843226
1,2020,2020Q3,1.2396741932664,2.39658143277497,0.659079470544271,0.340920529455729
1,2020,2020Q4,19.8748559683181,172.612607528681,0.896747270667692,0.103252729332308
1,2021,2021Q1,5.10637165821756,40.9782504211152,0.889195757113356,0.110804242886644
1,2021,2021Q2,0.792236073170299,1.10921907233409,0.583352741691866,0.416647258308134
1,2021,2021Q3,0.199398830967869,0.0928666342758258,0.317747545706067,0.682252454293933
1,2021,2021Q4,0.263291761501653,0.403374390946568,0.605062053120955,0.394937946879045
1,2022,2022Q1,0.234752626305878,0.125327743453162,0.348054917675821,0.651945082324179
1,2022,2022Q2,0.745171353217632,1.02474582981714,0.57897953624026,0.42102046375974
1,2022,2022Q3,1.11284343414157,0.152689329376479,0.120652213659027,0.879347786340973
1,2022,2022Q4,1.00949264484466,0.117576124596217,0.104320275553856,0.895679724446144
1,2023,2023Q1,1.2685086555857,0.232526559074619,0.154910795432097,0.845089204567903
1,2023,2023Q2,1.47660420617206,0.197821670495135,0.118142984560703,0.881857015439297
1,2023,2023Q3,1.11213775354503,0.151517385601456,0.119904063147953,0.880095936852047
1,2023,2023Q4,1.00912039199746,0.116955447887987,0.103861075555874,0.896138924444126
1,2024,2024Q1,1.27083811331629,0.232813899895118,0.154832300192841,0.845167699807159
