Zona,Year,horas,WPD_mean,WPD_p50,WPD_p90,WPD_PI_low90,WPD_PI_high90,E_free_kWh_m2,E_PI_low90,E_PI_high90,FNRR,coh,E_usable_kWh_m2,E_usable_PI_low90,E_usable_PI_high90
1,2017,8015,17.8290255091275,0.0735565706072136,0.917746574403161,17.8290255091275,17.8290255091275,142.899639455657,142.899639455657,142.899639455657,0.159787457441581,0.840212542558419,120.066069397719,120.066069397719,120.066069397719
1,2018,8760,208.166181983008,1.22059940845127,131.989900549384,208.166181983008,208.166181983008,1823.53575417115,1823.53575417115,1823.53575417115,0.0730292275214658,0.926970772478534,1690.36434668626,1690.36434668626,1690.36434668626
1,2019,8760,667.703312218502,190.023063702014,2007.06825892181,667.703312218502,667.703312218502,5849.08101503408,5849.08101503408,5849.08101503408,0.132389463084718,0.867610536915282,5074.7243199147,5074.7243199147,5074.7243199147
1,2020,8784,4.26123319924923,0.91443689742168,3.83710665205461,4.26123319924923,4.26123319924923,37.4306724222052,37.4306724222052,37.4306724222052,0.0947990015153232,0.905200998484677,33.882282050533,33.882282050533,33.882282050533
1,2021,8760,1.01502499273069,0.203837124935078,1.11214559757191,1.01502499273069,1.01502499273069,8.89161893632085,8.89161893632085,8.89161893632085,0.0733900880371627,0.926609911962837,8.23906223979136,8.23906223979136,8.23906223979136
1,2022,8760,0.461867181872808,0.299201954859375,0.877042814583201,0.245648821191341,8190844387834.78,4.0459565132058,2.15188367363615,71751796837432.7,0.0896035346959742,0.910396465304026,3.68342450839636,1.95906729022379,65322582220011.3
1,2023,8760,0.427421457422261,0.368680052078756,0.877042814583201,0,3.28847872526072e+23,3.74421196701901,0,2.88070736332839e+24,0.0454216000296204,0.95457839997038,3.57414386862695,0,2.74986102566891e+24
1,2024,8784,0.427421457422261,0.368680052078756,0.877042814583201,0,6.20358333127022e+30,3.75447008199714,0,5.44922759818776e+31,0.0454214484536133,0.954578551546387,3.58393661269708,0,5.20171578772467e+31
1,2025,8760,0.427421457422261,0.368680052078756,0.877042814583201,0,4.75551784394449e+36,3.74421196701901,0,4.16583363129538e+37,0.0454216000296204,0.95457839997038,3.57414386862695,0,3.97661480230474e+37
1,2026,8760,0.427421457422261,0.368680052078756,0.877042814583201,0,5.72253010044502e+41,3.74421196701901,0,5.01293636798983e+42,0.0454216000296204,0.95457839997038,3.57414386862695,0,4.78524077730906e+42
1,2027,8760,0.427421457422261,0.368680052078756,0.877042814583201,0,1.96833607331014e+46,3.74421196701901,0,1.72426240021968e+47,0.0454216000296204,0.95457839997038,3.57414386862695,0,1.64594364313079e+47
1,2028,8784,0.427421457422261,0.368680052078756,0.877042814583201,0,2.75734339416573e+50,3.75447008199714,0,2.42205043743518e+51,0.0454214484536133,0.954578551546387,3.58393661269708,0,2.31203739833916e+51
