Zona,n,mean,sd,min,p05,p25,median,p75,p95,max,skew,kurt,prop_zero,k_shape,c_scale,se_k,se_c,sigma,AIC_W,BIC_W,KS_W,KS_p_W,AIC_R,BIC_R,KS_R,KS_p_R,Ev3_W,Ev3_R
1,617712,3.44680972524413,10.9779924592222,0,0.17,0.4,0.9,1.7,7.8,60.2,4.61191674168706,23.0013323992776,0.0143675369751599,0.618948911750376,1.88954743544085,0.000511561912778555,0.00417142967539934,8.19532069136547,2256357.05305803,2256379.69166975,0.179474817397318,2.56756865304257e-140,6406134.96147884,6406146.2807847,0.840740160601699,0,624.834561901223,2069.56490489972
2,600511,2.90097733430362,2.51970399491993,0,0.6,1.4,2.3,3.6,6.8,32.7,2.92085737854071,14.2947428223973,0.00103744977194423,1.34542914973065,3.19660613172101,0.00121505001508782,0.00325488721890042,2.71844629780527,2389735.27455324,2389757.88354974,0.0701600234082919,8.37901511805182e-22,2644705.46853976,2644716.77303801,0.202446272802833,2.03065827910256e-178,81.5790779050675,75.5341710456641
3,757954,2.52861334592864,2.06346094912775,0,0.5,1.1,2,3.3,6.6,25.7,2.05384326610551,9.65966679642655,7.91604767571647e-06,1.35201484412214,2.77900160436194,0.00114076817113984,0.00250192368368295,2.3077949697313,2814495.62565542,2814518.70239554,0.0610681648311707,1.27290426180376e-16,3087760.47492253,3087772.01329259,0.215530509045414,3.60143606046439e-202,53.0181312359298,46.2139255544142
4,242428,3.40834062072038,1.8266058196577,0,0.7,1.8,3.4,4.9,6.4,10.9,0.172430920729854,2.03511379016966,0.000247496163809461,1.92936426467385,3.83924608908926,0.00321506657034602,0.00424392498233005,2.73468120951341,960708.533544968,960729.329969991,0.0799031209201914,3.74507804495348e-28,961180.99000727,961191.388219781,0.078132389182512,6.14870996313881e-27,78.2460755917082,76.8955686316521
