Zona,Year,horas_teo,horas_obs,coverage,WPD_mean,WPD_p50,WPD_p90,E_free,E_usable,FNRR,coh,E_free_lo,E_free_hi,E_usable_lo,E_usable_hi
1,2017,8760,3681,0.420205479452055,2.03256021705915,3.60517358538823,3.60517358538823,17.8052275014381,17.8052275014381,0,1,,,,
1,2018,8760,4169,0.475913242009133,3.21830196395209,3.60517358538823,5.95055927628001,28.1923252042203,23.187019226284,0.105838325053925,0.894161674946075,,,,
1,2019,8760,4317,0.492808219178082,6.54104590488191,3.60517358538823,10.5648506898823,57.2995621267656,35.9291028966048,0.314063725431757,0.685936274568244,,,,
1,2020,8784,4200,0.478142076502732,2.41942208723546,3.60517358538823,3.60517358538823,21.2522036142762,21.2522036142762,0,1,,,,
1,2021,8760,3130,0.357305936073059,2.05781064272445,3.60517358538823,3.60517358538823,18.0264212302662,18.0264212302662,0,1,,,,
1,2022,8760,787,0.593949771689498,3.04631823325272,3.60517358538823,3.94986206994739,26.6857477232938,25.2767659348753,0.0410460604359589,0.958953939564041,,,,
1,2023,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,34.9544350656178,31.0900482444039,0.110554978616003,0.889445021383997,18.028448452459,40.8585479714602,16.0353137193177,36.3414320741945
1,2024,8784,0,1,3.99023231342669,3.60517358538823,4.56782040548437,35.05020064114,31.1752264587721,0.110554978616003,0.889445021383997,16.9215558916266,41.0146803094177,15.0507936418783,36.4803032048678
1,2025,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,34.9544350656178,31.0900482444039,0.110554978616003,0.889445021383997,16.7730455044498,41.0937198560054,14.9187018173801,36.5506045360727
1,2026,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,34.9544350656178,31.0900482444039,0.110554978616003,0.889445021383997,16.7078504405367,40.8289465957699,14.8607143923638,36.3151032779606
1,2027,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,34.9544350656178,31.0900482444039,0.110554978616003,0.889445021383997,16.9996672922947,40.8085976843269,15.1202694383159,36.297004039987
