Zona,Year,days,WPD_mean,WPD_p50,E_free_kWh_m2,E_free_low_kWh_m2,E_free_high_kWh_m2,FNRR_a,coh_a,E_usable_kWh_m2,E_usable_low_kWh_m2,E_usable_high_kWh_m2
1,2017,334,33.7989717344862,0.11824153503678,270.932557423642,0,0,0.926813243068588,0.073186756931412,19.8286752249699,0,0
1,2018,365,214.281275825572,1.06580391305624,1877.10397623201,0,0,0.761006338399519,0.238993661600481,448.615952484511,0,0
1,2019,365,710.627645939437,482.858380758125,6225.09817842947,0,0,0.530235336470348,0.469764663529652,2924.33115122897,0,0
1,2020,366,5.85034891641373,1.07172463006503,51.3894648817782,0,0,0.936705424845375,0.063294575154625,3.25267434711567,0,0
1,2021,365,1.57324511343911,0.204608311359575,13.7816271937266,0,0,0.9283149347593,0.0716850652407002,0.987936844505297,0,0
1,2022,365,0.778611640485113,0.876885288012988,6.82063797064959,0,451.782675253731,0.444411098426716,0.555588901573284,3.78947075814224,0,251.00544029406
1,2023,365,1.21559592097063,1.17785972558488,10.6486202677027,0,23713.7641924272,0.171434653933244,0.828565346066756,8.82307773724257,0,19648.4032346439
1,2024,366,1.21517202734529,1.17661121354515,10.6740710882011,0,70615.209376228,0.171376714097994,0.828623285902006,8.84478385905677,0,58513.4068279882
1,2025,365,1.215483255266,1.17768727202461,10.6476333161302,0,70422.2716456919,0.171490774073464,0.828509225926536,8.82166243669663,0,58345.5017691604
1,2026,365,1.21589701631111,1.17690644817318,10.6512578628853,0,70422.2716456919,0.171330572585921,0.828669427414079,8.82637175447688,0,58356.7835218342
1,2027,365,1.21587392131996,1.17741989659767,10.6510555507628,0,70422.2716456919,0.171338025283291,0.828661974716709,8.82612472551249,0,58356.2586859555
1,2028,366,1.21510569971322,1.17839867968706,10.6734884662809,0,70615.209376228,0.171396492290508,0.828603507709492,8.8440899826572,0,58512.0101867827
2,2017,365,12.8472084190621,9.97881760690175,112.541545750984,0,0,0.460460605291788,0.539539394708212,60.7205974740126,0,0
2,2018,365,12.5436122675071,10.0721589531689,109.882043463363,0,0,0.440867328003395,0.559132671996605,61.438640566117,0,0
2,2019,365,34.7393390038936,14.270146398321,304.316609674108,0,0,0.583482061668081,0.416517938331919,126.753326861619,0,0
2,2020,366,18.5055472780544,8.2602304421296,162.55272729043,0,0,0.616175316318423,0.383824683681577,62.3917491338269,0,0
2,2021,365,8.33116582279271,6.11319212561309,72.9810126076642,0,0,0.470976444464547,0.529023555535453,38.6086747762842,0,0
2,2022,365,7.16915754903532,5.56279247162257,62.8018201295494,4.84945882694896,163.949745124046,0.445034500956533,0.554965499043467,34.8528434490334,2.69128233798848,90.9864521208153
2,2023,365,6.32928995969944,4.80587397597578,55.4445800469671,1.61977130327862,440.501138718931,0.331748947550691,0.668251052449309,37.0508989689957,1.08241387814312,294.365349554045
2,2024,366,6.32378969355072,4.80591541802147,55.5481686681495,0.248691751218635,701.142952321408,0.331760743053371,0.668239256946629,37.1194669555503,0.166185591043097,468.531245472624
2,2025,365,6.32914114995528,4.79512566390315,55.4432764736083,0,1029.24708690322,0.331759886108712,0.668240113891288,37.0494213852302,0,687.784190574484
2,2026,365,6.32921254747024,4.78411678039056,55.4439019158393,0,1442.5605938168,0.331754338924211,0.668245661075789,37.0501468883712,0,963.984857656986
2,2027,365,6.32845131830326,4.78557105631895,55.4372335483366,0,1952.85381840207,0.331812957350095,0.668187042649905,37.0424411373551,0,1304.87161764566
2,2028,366,6.3239215551737,4.79200409789991,55.5493269406458,0,2448.23131351894,0.331751782671557,0.668248217328443,37.1207387018814,0,1636.02621086671
3,2017,365,13.0436216410046,8.23691584919951,114.2621255752,0,0,0.574578227703415,0.425421772296585,48.6095959685767,0,0
3,2018,365,18.2305125425535,9.75267443581236,159.699289872769,0,0,0.557277104912168,0.442722895087832,70.7025319559431,0,0
3,2019,365,20.320428046701,11.7898943995973,178.006949689101,0,0,0.595145755496926,0.404854244503075,72.0668691326776,0,0
3,2020,366,15.1442374413751,12.0421286136171,133.026981685039,0,0,0.44542703671304,0.55457296328696,73.7731674301921,0,0
3,2021,365,5.53577187171022,4.21395719944753,48.4933615961815,0,0,0.463743110188562,0.536256889811438,26.0048992660697,0,0
