Zona,Quarter,horas,WPD_mean,WPD_p50,WPD_p90,WPD_PI_low90,WPD_PI_high90,E_free_kWh_m2,E_PI_low90,E_PI_high90,FNRR,coh,E_usable_kWh_m2,E_usable_PI_low90,E_usable_PI_high90
1,2017Q1,1415,0.0706022986664803,0.0283799239466903,0.200831373351525,0.0706022986664803,0.0706022986664803,0.0999022526130696,0.0999022526130696,0.0999022526130696,0.0763361185497293,0.923663881450271,0.0922761024142133,0.0922761024142133,0.0922761024142133
1,2017Q2,2184,0.157603276780419,0.00962163799459867,0.190096306730386,0.157603276780419,0.157603276780419,0.344205556488436,0.344205556488436,0.344205556488436,0.616806083706505,0.383193916293495,0.131897475200786,0.131897475200786,0.131897475200786
1,2017Q3,2208,63.5325521768304,0.117779528629989,0.702201837119788,63.5325521768304,63.5325521768304,140.279875206441,140.279875206441,140.279875206441,0.155765438571137,0.844234561428863,118.429118922206,118.429118922206,118.429118922206
1,2017Q4,2208,0.985351648602395,0.408978236070044,1.97316680395851,0.985351648602395,0.985351648602395,2.17565644011409,2.17565644011409,2.17565644011409,0.171284246033151,0.828715753966849,1.80300076714198,1.80300076714198,1.80300076714198
1,2018Q1,2160,2.24135527055495,1.13723616999904,5.60942403437138,2.24135527055495,2.24135527055495,4.8413273843987,4.8413273843987,4.8413273843987,0.105477149938025,0.894522850061975,4.33067796997541,4.33067796997541,4.33067796997541
1,2018Q2,2184,26.3388110834793,0.75400862278226,2.96614406268575,26.3388110834793,26.3388110834793,57.5239634063188,57.5239634063188,57.5239634063188,0.154774917857268,0.845225082142732,48.6206966952814,48.6206966952814,48.6206966952814
1,2018Q3,2208,12.8400585298232,0.797402991579181,3.00012375548744,12.8400585298232,12.8400585298232,28.3508492338497,28.3508492338497,28.3508492338497,0.151310269583998,0.848689730416002,24.0610745933406,24.0610745933406,24.0610745933406
1,2018Q4,2208,784.791491914213,19.2357379045817,2070.88419125892,784.791491914213,784.791491914213,1732.81961414658,1732.81961414658,1732.81961414658,0.110480909699163,0.889519090300837,1541.37612683111,1541.37612683111,1541.37612683111
1,2019Q1,2160,1158.94887026741,542.339584611076,2822.74047495531,1158.94887026741,1158.94887026741,2503.3295597776,2503.3295597776,2503.3295597776,0.204293465553902,0.795706534446098,1991.91568858711,1991.91568858711,1991.91568858711
1,2019Q2,2184,990.119864952574,602.523294363866,2446.34774362689,990.119864952574,990.119864952574,2162.42178505642,2162.42178505642,2162.42178505642,0.614480057253285,0.385519942746715,833.656722769201,833.656722769201,833.656722769201
1,2019Q3,2208,478.156449846438,246.159468182571,960.45077195524,478.156449846438,478.156449846438,1055.76944126094,1055.76944126094,1055.76944126094,0.557650429304503,0.442349570695498,467.0191590952,467.0191590952,467.0191590952
1,2019Q4,2208,57.7718428166282,1.38868792199085,6.35315621820599,57.7718428166282,57.7718428166282,127.560228939115,127.560228939115,127.560228939115,0.0614619196752035,0.938538080324797,119.720132394309,119.720132394309,119.720132394309
1,2020Q1,2184,1.46975849746432,0.904372591854899,3.42633764776786,1.46975849746432,1.46975849746432,3.20995255846207,3.20995255846207,3.20995255846207,0.0846787240851013,0.915321275914899,2.9381378714378,2.9381378714378,2.9381378714378
1,2020Q2,2184,1.36412788790273,0.895892241358297,3.18180229224702,1.36412788790273,1.36412788790273,2.97925530717955,2.97925530717955,2.97925530717955,0.0913265917749131,0.908673408225087,2.70717007394752,2.70717007394752,2.70717007394752
1,2020Q3,2208,1.74029245554133,0.746025027661824,3.25814610516048,1.74029245554133,1.74029245554133,3.84256574183526,3.84256574183526,3.84256574183526,0.0903792426821824,0.909620757317817,3.49527756013169,3.49527756013169,3.49527756013169
1,2020Q4,2208,12.4089215646415,1.17687647540555,6.07546385677299,12.4089215646415,12.4089215646415,27.3988988147283,27.3988988147283,27.3988988147283,0.108050869787767,0.891949130212233,24.4384239665699,24.4384239665699,24.4384239665699
1,2021Q1,2160,2.80866691946879,0.274615024072827,2.03714564663859,2.80866691946879,2.80866691946879,6.06672054605259,6.06672054605259,6.06672054605259,0.0661912267896326,0.933808773210367,5.6651568705195,5.6651568705195,5.6651568705195
1,2021Q2,2184,0.747355255733865,0.231180171392815,1.65308559563495,0.747355255733865,0.747355255733865,1.63222387852276,1.63222387852276,1.63222387852276,0.0631618919968552,0.936838108003145,1.52912953019282,1.52912953019282,1.52912953019282
