Zona,Year,Q,YQ,horas_teo,horas_obs,coverage,WPD_p50,WPD_p90,WPD_mean,E_free,E_usable,FNRR,coh,E_free_lo,E_free_hi
1,2017,1,2017 Q1,2160,592,0.274074074074074,3.60517358538823,3.60517358538823,2.0751231630657,4.48226603222191,4.48226603222191,0,1,,
1,2017,2,2017 Q2,2184,1031,0.472069597069597,3.60517358538823,3.60517358538823,1.87361405534894,4.09197309688209,4.09197309688209,0,1,,
1,2017,3,2017 Q3,2208,979,0.44338768115942,3.60517358538823,3.60517358538823,2.08073253656116,4.59425744072704,4.59425744072704,0,1,,
1,2017,4,2017 Q4,2208,1079,0.488677536231884,3.60517358538823,3.60517358538823,2.09996871902495,4.63673093160709,4.63673093160709,0,1,,
1,2018,1,2018 Q1,2160,900,0.416666666666667,3.60517358538823,3.60517358538823,2.73291886515785,5.90310474874097,5.90310474874097,0,1,,
1,2018,2,2018 Q2,2184,1081,0.49496336996337,3.60517358538823,3.60517358538823,2.42034104312188,5.28602483817818,5.28602483817818,0,1,,
1,2018,3,2018 Q3,2208,1085,0.491394927536232,3.60517358538823,3.60517358538823,2.30209261340361,5.08302049039517,5.08302049039517,0,1,,
1,2018,4,2018 Q4,2208,1103,0.499547101449275,3.60517358538823,12.9102363807741,5.39863003935959,11.920175126906,6.91486914896973,0.419902050485682,0.580097949514318,,
1,2019,1,2019 Q1,2160,1079,0.499537037037037,3.60517358538823,12.9102363807741,7.29830696703215,15.7643430487894,9.14486307804305,0.419902050485682,0.580097949514318,,
1,2019,2,2019 Q2,2184,1092,0.5,3.60517358538823,12.9102363807741,8.14983132481676,17.7992316133998,10.3252977618636,0.419902050485682,0.580097949514318,,
1,2019,3,2019 Q3,2208,1064,0.481884057971015,3.60517358538823,12.9102363807741,7.84888598417976,17.3303402530689,10.0532948451907,0.419902050485682,0.580097949514318,,
1,2019,4,2019 Q4,2208,1082,0.490036231884058,3.60517358538823,3.60517358538823,2.90110833854502,6.40564721150741,6.40564721150741,0,1,,
1,2020,1,2020 Q1,2184,1011,0.462912087912088,3.60517358538823,3.60517358538823,2.40167965331066,5.24526836283049,5.24526836283049,0,1,,
1,2020,2,2020 Q2,2184,1091,0.499542124542125,3.60517358538823,3.60517358538823,2.31320747492757,5.05204512524181,5.05204512524181,0,1,,
1,2020,3,2020 Q3,2208,1092,0.494565217391304,3.60517358538823,3.60517358538823,2.27897030233618,5.03196642755829,5.03196642755829,0,1,,
1,2020,4,2020 Q4,2208,1006,0.455615942028986,3.60517358538823,3.60517358538823,2.68248355916923,5.92292369864566,5.92292369864566,0,1,,
1,2021,1,2021 Q1,2160,417,0.193055555555556,3.60517358538823,3.60517358538823,2.3419505204131,5.0586131240923,5.0586131240923,0,1,,
1,2021,2,2021 Q2,2184,776,0.355311355311355,3.60517358538823,3.60517358538823,2.04535246954384,4.46704979348374,4.46704979348374,0,1,,
1,2021,3,2021 Q3,2208,1072,0.485507246376812,3.60517358538823,3.60517358538823,1.90962065347203,4.21644240286624,4.21644240286624,0,1,,
1,2021,4,2021 Q4,2208,865,0.391757246376812,3.60517358538823,3.60517358538823,1.94036046640574,4.28431590982388,4.28431590982388,0,1,,
1,2022,1,2022 Q1,2160,110,0.0509259259259259,3.60517358538823,3.60517358538823,2.26445456702593,4.89122186477601,4.89122186477601,0,1,,
1,2022,2,2022 Q2,2184,677,0.309981684981685,3.60517358538823,3.60517358538823,2.13658006206415,4.66629085554809,4.66629085554809,0,1,,
1,2022,3,2022 Q3,2208,0,1,3.60517358538823,4.01004086164095,3.76712049588932,8.31780205492361,7.88285749267405,0.0522908046353553,0.947709195364645,3.19543583544604,7.78887115601562
1,2022,4,2022 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.72265371729291,10.7843799202189
1,2023,1,2023 Q1,2160,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.61890179700164,7.66603929314069,0.110554978616003,0.889445021383997,2.46945236797491,12.6659208582318
1,2023,2,2023 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.62017225901058,14.6457406198451
1,2023,3,2023 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.65869104013058,14.8323463728798
1,2023,4,2023 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.54153548038994,14.7684964334969
1,2024,1,2024 Q1,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.44927285842402,14.8910959563148
1,2024,2,2024 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.27142521241863,14.4082881432187
1,2024,3,2024 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.24544271888038,14.285917410497
1,2024,4,2024 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.25649924510168,14.3970863481974
1,2025,1,2025 Q1,2160,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.61890179700164,7.66603929314069,0.110554978616003,0.889445021383997,2.25191251397074,14.4604192658164
1,2025,2,2025 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.30469391592465,14.7726482802895
1,2025,3,2025 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.31286315998536,14.8119953887896
1,2025,4,2025 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.300329421385,14.7684266398521
1,2026,1,2026 Q1,2160,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.61890179700164,7.66603929314069,0.110554978616003,0.889445021383997,2.29521684002533,14.7648179318798
1,2026,2,2026 Q2,2184,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.71466737252388,7.75121750750892,0.110554978616003,0.889445021383997,2.26505698221067,14.6344265362777
1,2026,3,2026 Q3,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.26148358016201,14.6174543872668
1,2026,4,2026 Q4,2208,0,1,3.60517358538823,4.56782040548437,3.99023231342669,8.81043294804612,7.83639572187715,0.110554978616003,0.889445021383997,2.26667140641689,14.6464040361807
