Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,Coverage_PI90_before,Coverage_PI90_after,c_PI90,FNRR_mean_test
1,Corto,1,TDQ_PIESS_KFAS_SEASON24,9636,56.2136694168424,8.76762580112963,0.0825551375860095,0.727532908696164,0.999896222498962,0.899958488999585,0.0037866152839638,0.502188042553093
1,Medio,12,TDQ_PIESS_KFAS_SEASON24,9633,55.740692018359,7.71876277626858,0.0984253967784948,0.729872420143353,0.999896190179591,0.899927333125714,0.00332790018507361,0.502224121699116
1,Largo,72,TDQ_PIESS_KFAS_SEASON24,9630,55.6179165528331,6.28322590697378,0.103842795653936,0.730522817563704,0.999896157840083,0.9,0.00242390453105498,0.502574229448854
2,Corto,1,TDQ_PIESS_KFAS,9636,1.504448349812,0.852430038730054,0.97930963063948,0.804684327556398,1,0.899958488999585,0.0400990648926903,0.542771869523667
2,Medio,12,TDQ_PIESS_KFAS,9633,1.01901696399444,0.577438145342015,0.990507003899026,0.900427933351492,1,0.899927333125714,0.0271788398447884,0.542949908574291
2,Largo,72,TDQ_PIESS_KFAS,9630,1.15083510342887,0.647250245510151,0.98789530286014,0.906533494703807,1,0.9,0.031414412373476,0.543038476712616
3,Corto,1,TDQ_PIESS_KFAS_SEASON24,9636,3.03049520358415,2.05622725123403,0.746514913244373,0.275384129192271,1,0.899958488999585,0.0773754841368254,0.527763542837869
3,Medio,12,TDQ_PIESS_KFAS,9633,0.979704376933477,0.521107620864118,0.973516761222345,0.804565702722651,1,0.899927333125714,0.0221390183161744,0.527777817966115
3,Largo,72,TDQ_PIESS_KFAS,9630,1.02655627955244,0.542175515324846,0.970931043047547,0.849596088281995,1,0.9,0.0228101451825857,0.52739253093743
4,Corto,1,TDQ_PIESS_KFAS,9636,15.815797581265,8.36272543813558,0.535212682170962,0.252506211426159,0.988480697384807,0.899958488999585,0.281986611507801,0.510753177586945
4,Medio,12,TDQ_PIESS_KFAS,9633,1.31503057579604,0.60004015170824,0.996787678063679,0.948987398165018,1,0.899927333125714,0.0222063653777713,0.510990779023349
4,Largo,72,TDQ_PIESS_KFAS,9630,1.30579577537772,0.594392283867462,0.996833557812892,0.952355237785435,1,0.9,0.0221490590944949,0.510905025988991
