iter,val_Z2,units1,units2,dropout,lr,batch,rk
1,0.052077978849411,32,48,0.204585498245433,0.000748175709828151,256,8
2,0.0416236147284508,128,32,0.19727344722487,0.00251258277858089,256,2
3,0.0485395193099976,96,48,0.277432392258197,0.00212531487589392,512,6
4,0.0446365512907505,96,16,0.213190283546109,0.00130424928718061,256,4
5,0.0414853505790234,32,32,0.243177842040868,0.00234383188700978,256,1
6,0.0453339479863644,64,16,0.187995952887524,0.00287583172733287,512,5
7,0.0498733371496201,32,48,0.236611729544346,0.00213771528635217,512,7
8,0.0436135493218899,32,32,0.206792634633735,0.00157596149101968,256,3
