iter,val_Z2,units1,units2,dropout,lr,batch,rk
1,0.10739616304636,64,32,0.139934165263549,0.000681839240039657,512,3
2,0.105623997747898,96,16,0.149646652885713,0.00135196364061228,512,1
3,0.127123087644577,64,16,0.157791565358639,0.000378854080035439,256,8
4,0.109345003962517,32,64,0.171927877265892,0.0011658596386001,512,6
5,0.108694016933441,64,16,0.0737140260754851,0.000792305888603031,256,5
6,0.108261436223984,32,16,0.145124811911339,0.00152260882800219,512,4
7,0.106102392077446,96,48,0.178157866667196,0.00228603651224125,512,2
8,0.119822911918163,96,16,0.167768151944441,0.000579405029410651,512,7
