Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,Coverage_PI90_before,Coverage_PI90_after,c_PI90,FNRR_mean_test
1,Corto,1,TDQ_PIESS_KFAS,9636,189.575134080679,19.3446987704594,0.0811970711927649,0.322260122606694,0.999896222498962,0.899958488999585,0.00927462272057211,0.496726450803465
1,Medio,12,TDQ_PIESS_KFAS,9633,188.453362267662,12.1759739929074,0.0923211783402925,0.326378927336694,0.999896190179591,0.899927333125714,0.00418321112016847,0.496817043813461
1,Largo,72,TDQ_PIESS_KFAS,9630,188.503266356436,10.6601029003188,0.0921231660516506,0.326303112146523,0.999896157840083,0.9,0.00349276414019904,0.497174549524682
2,Corto,1,TDQ_PIESS_KFAS,9636,1.35271618829595,0.769184931874621,0.983272653476417,0.82438302253754,1,0.899958488999585,0.036249335534832,0.542771869523667
2,Medio,12,TDQ_PIESS_KFAS,9633,0.825719286640082,0.451901860217035,0.993766882239093,0.919315792820566,1,0.899927333125714,0.022322633503071,0.542949908574291
2,Largo,72,TDQ_PIESS_KFAS,9630,1.11253747091366,0.634894427357357,0.988687540921917,0.909643884595156,1,0.9,0.0305290776390926,0.543038476712616
3,Corto,1,TDQ_PIESS_KFAS,9636,2.98316201810489,1.73638024238371,0.754382444185733,0.286703696921845,1,0.899958488999585,0.0698278180693524,0.524622484688212
3,Medio,12,TDQ_PIESS_KFAS,9633,0.893308139873953,0.433581139244298,0.97798171026427,0.821800277023509,1,0.899927333125714,0.0201292248244748,0.524640581016268
3,Largo,72,TDQ_PIESS_KFAS,9630,1.01732877946452,0.522906525208922,0.971451283894202,0.850948037645363,1,0.9,0.0229726225057975,0.524203251560698
4,Corto,1,TDQ_PIESS_KFAS,9636,15.5403043504696,7.84526323606234,0.551263792248249,0.265526704243896,0.989207139892071,0.899958488999585,0.27702558982316,0.510753177586945
4,Medio,12,TDQ_PIESS_KFAS,9633,0.502075046279025,0.227840674541159,0.999531742614533,0.98052352933953,1,0.899927333125714,0.00844331395311283,0.510990779023349
4,Largo,72,TDQ_PIESS_KFAS,9630,1.16054387790774,0.528693275408213,0.997498824450464,0.957655065098913,1,0.9,0.0196147345513556,0.510905025988991
